ID	Len	Group	GroupCount	Class	ClassCount	Fold	FoldCount
a.1.1.0_d2bk9a_	153	a.1.1.0	4	a	1524	a.1	21
a.1.1.0_d2wy4a_	139	a.1.1.0	4	a	1524	a.1	21
a.1.1.0_d2zs0a_	140	a.1.1.0	4	a	1524	a.1	21
a.1.1.0_d4xxia_	147	a.1.1.0	4	a	1524	a.1	21
a.1.1.1_d2bkma_	128	a.1.1.1	2	a	1524	a.1	21
a.1.1.1_d4i0va_	123	a.1.1.1	2	a	1524	a.1	21
a.1.1.2_d1asha_	147	a.1.1.2	10	a	1524	a.1	21
a.1.1.2_d1h97a_	147	a.1.1.2	10	a	1524	a.1	21
a.1.1.2_d1itha_	141	a.1.1.2	10	a	1524	a.1	21
a.1.1.2_d1jl7a_	147	a.1.1.2	10	a	1524	a.1	21
a.1.1.2_d1or4a_	169	a.1.1.2	10	a	1524	a.1	21
a.1.1.2_d1tu9a1	129	a.1.1.2	10	a	1524	a.1	21
a.1.1.2_d3d1ka_	142	a.1.1.2	10	a	1524	a.1	21
a.1.1.2_d3g46a_	146	a.1.1.2	10	a	1524	a.1	21
a.1.1.2_d3qm9a_	145	a.1.1.2	10	a	1524	a.1	21
a.1.1.2_d4hsxa_	137	a.1.1.2	10	a	1524	a.1	21
a.1.1.3_d1xg0c_	175	a.1.1.3	2	a	1524	a.1	21
a.1.1.3_d3l0fa_	162	a.1.1.3	2	a	1524	a.1	21
a.1.1.4_d2xkia_	110	a.1.1.4	1	a	1524	a.1	21
a.1.2.1_d2h88b2	132	a.1.2.1	1	a	1524	a.1	21
a.1.2.2_d1gtea1	182	a.1.2.2	1	a	1524	a.1	21
a.10.1.1_d1erda_	40	a.10.1.1	3	a	1524	a.10	4
a.10.1.1_d1hd6a_	37	a.10.1.1	3	a	1524	a.10	4
a.10.1.1_d2erla_	40	a.10.1.1	3	a	1524	a.10	4
a.10.2.1_d1x9ba_	53	a.10.2.1	1	a	1524	a.10	4
a.100.1.0_d2izza2	107	a.100.1.0	3	a	1524	a.100	16
a.100.1.0_d3ws7a2	122	a.100.1.0	3	a	1524	a.100	16
a.100.1.0_d4kqwa2	145	a.100.1.0	3	a	1524	a.100	16
a.100.1.10_d2i76a1	103	a.100.1.10	1	a	1524	a.100	16
a.100.1.11_d3f47a2	102	a.100.1.11	1	a	1524	a.100	16
a.100.1.12_d2f1ka1	114	a.100.1.12	2	a	1524	a.100	16
a.100.1.12_d2pv7a1	128	a.100.1.12	2	a	1524	a.100	16
a.100.1.1_d4gwga2	293	a.100.1.1	1	a	1524	a.100	16
a.100.1.2_d3fr7a2	273	a.100.1.2	1	a	1524	a.100	16
